ID,LastName,FirstName,email,Plus,Minus,credit_card,Tax
60-4045310,Yepiskopov,Géraldine,dyepiskopovk@wikia.com,$20299.46,$15483.53,3582034285156070,$6289.38
84-1869296,Donohoe,Mélinda,adonohoel@cbc.ca,$33567.09,$27218.49,3579189808252858,$44215.69
72-5707280,Roby,Marie-hélène,srobym@nydailynews.com,$29742.32,$19414.79,3561734205673642,$49453.88
35-5690405,Buessen,Gisèle,dbuessenn@engadget.com,$2764.52,$28215.59,5602232187053798,$18216.69
28-4246256,Reinard,Judicaël,mreinardo@about.me,$31473.04,$7172.65,3561875731838066,$11422.73
58-5678166,Moryson,Mélinda,lmorysonp@cnet.com,$45896.28,$36207.07,372301546435373,$36979.96
61-8276645,Gobeaux,Mahélie,,$13000.46,$31496.48,3549094028030307,$22848.65
62-3230099,Lemmers,Marie-thérèse,olemmersr@meetup.com,$3711.69,$12012.09,201828095919438,$2061.28
09-3820757,Chellam,Marie-josée,,$47352.56,$39513.17,6370427259646382,$43020.04
44-7286205,Fairbank,Nuó,cfairbankt@vistaprint.com,$11527.67,$3215.95,4917574606064168,$43602.52
27-5523585,Basterfield,Nélie,,$21767.24,$46942.73,493651256171387910,$34078.28
07-9870059,Cheale,Océane,wchealev@deviantart.com,$48999.53,$44566.60,5602224958878727,$18443.03
07-4260098,Parkyns,Nadège,,$35588.10,$7924.28,3576500820111273,$24820.02
47-1525534,Imore,Andrée,,$41854.35,$31417.99,6331106578430508052,$29982.12
48-9542873,Radage,Dafnée,,$45586.96,$6300.36,503862181498561743,$49141.64
03-1197668,Duggleby,Marie-ève,pdugglebyz@purevolume.com,$7318.94,$20534.48,3584833107363477,$32003.71
88-4683729,Braddock,Ruò,abraddock10@yellowbook.com,$8318.44,$44579.44,6304158860872940,$47346.97
64-1648253,Bootell,Pénélope,,$9645.33,$4983.43,4917454658865442,$23724.35
79-3268114,Keedy,Sòng,,$13240.50,$40843.77,5602231961789668,$6445.35
28-9900968,McShirrie,Gösta,gmcshirrie13@ovh.net,$33248.50,$6362.25,3540777237575752,$13929.35
61-9136581,Schwartz,Célia,,$10041.11,$25994.04,3559626582425923,$22262.67
16-2220153,Hampton,Mélys,khampton15@livejournal.com,$19201.09,$37439.46,3566345224452796,$16451.25
62-1180808,Beaman,,ybeaman16@ezinearticles.com,$16621.37,$40065.91,3532132750887731,$17132.31
93-5534745,McLeman,Stévina,gmcleman17@seesaa.net,$34178.11,$48456.94,3544592494502720,$6357.18
09-0358505,Godwin,Mégane,rgodwin18@foxnews.com,$31048.77,$9326.77,4936040645146231,$31726.18
35-8371190,Bratty,Mélodie,fbratty19@marketwatch.com,$35440.52,$24119.20,3542190128073200,$4551.61
06-3888329,Connar,Judicaël,rconnar1a@earthlink.net,$22401.08,$3389.55,3559559639736184,$18509.28
49-6252809,Gibbons,,mgibbons1b@princeton.edu,$28616.11,$40279.74,4405682183915287,$14932.90
82-0909890,Banfill,Léane,kbanfill1c@friendfeed.com,$39609.37,$2518.82,560224324155188896,$15823.56
27-1343638,Daughtery,Yénora,sdaughtery1d@slideshare.net,$1546.46,$26115.88,3570310885166642,$27203.75
98-5740737,Bracken,Kuí,vbracken1e@myspace.com,$20248.36,$28610.19,3585402094910432,$12718.94
56-7321136,Vanyukov,Aloïs,cvanyukov1f@printfriendly.com,$34395.33,$27476.60,201807457912629,$2980.03
20-8249056,Beagin,Bécassine,nbeagin1g@narod.ru,$32976.95,$8442.78,3574344857571485,$6439.82
48-2648438,Rabbitt,Yáo,arabbitt1h@cmu.edu,$19476.07,$42346.18,5291095711363058,$25845.27
91-5154780,MacCostigan,Anaïs,bmaccostigan1i@huffingtonpost.com,$37264.28,$15240.41,5478411448065426,$18102.09
51-0654079,Fabbro,Valérie,bfabbro1j@dropbox.com,$13368.16,$26856.28,3537881644357930,$21058.30
07-8330266,Endley,Maïly,eendley1k@unesco.org,$24304.79,$20343.57,3581478840162571,$15619.76
64-5170414,Pavlenkov,Lucrèce,lpavlenkov1l@jimdo.com,$39619.39,$7176.19,5602255817541544,$40429.10
58-9637537,Neaves,Léane,aneaves1m@buzzfeed.com,$40790.62,$15343.72,50188434961970605,$18344.84
19-7551201,Anelay,Andrée,fanelay1n@indiatimes.com,$20168.13,$20044.30,5010127057380428,$4396.15
30-3349706,Kinsell,Marie-noël,fkinsell1o@admin.ch,$46543.22,$39406.10,501898182476724784,$45132.96
07-5740374,Giffin,Océane,bgiffin1p@sfgate.com,$14624.51,$11298.78,3573225899760114,$4342.57
86-5663058,Lomasna,Cléa,slomasna1q@google.pl,$33403.33,$8754.26,3570172800899115,$32615.54
01-6607923,Hachard,Thérèse,phachard1r@ycombinator.com,$13255.16,$8867.37,5002358546853317,$19442.53
29-1334665,Johnikin,Andréa,hjohnikin1s@shop-pro.jp,$7006.76,$3480.05,3569725289926619,$43500.98
08-2822161,Spellacy,Mélina,sspellacy1t@chron.com,$11535.44,$3626.69,5602246661087171,$45136.22
27-5761312,Borless,Maëly,,$5143.05,$44943.27,3531440241194455,$1265.26
90-2817960,Carnier,Personnalisée,gcarnier1v@ted.com,$33905.05,$49290.03,374283458890324,$35126.73
38-6339278,Rubi,Marie-josée,,$18473.91,$44012.81,3538580871806267,$1294.30
93-1352021,Shalloe,Léa,gshalloe1x@globo.com,$38223.99,$43774.22,3558807514800984,$9044.79
98-9398689,Lingwood,Maïté,mlingwood1y@wordpress.com,$47412.86,$1499.27,201561279094179,$23816.11
68-3145918,Vallery,Solène,,$1382.28,$22561.73,5556910197483925,$8585.88
75-9237133,Eyer,Torbjörn,,$5042.64,$30636.20,30375506764182,$46057.89
88-3020098,Hartburn,Cunégonde,bhartburn21@yellowbook.com,$38542.29,$20830.37,3574368715743317,$14995.84
37-0411728,Dallyn,Maëlann,edallyn22@chronoengine.com,$8824.51,$10897.48,3585463134681615,$3816.15
22-4924331,Keaves,Nuó,mkeaves23@tripod.com,$19501.81,$12616.64,0604069211861501872,$8224.98
81-6045268,Merit,,rmerit24@usatoday.com,$10924.73,$17003.67,50184189154913838,$3423.23
32-6207664,Brands,Rébecca,sbrands25@1und1.de,$22811.90,$7308.17,3555948629360192,$31707.50
41-4606179,Barratt,Gösta,dbarratt26@google.cn,$48764.27,$10101.88,5602238254738302,$5659.67
98-7791566,Eighteen,Maëlyss,aeighteen27@seesaa.net,$19422.37,$35240.94,06043751701962601,$42088.12
58-7499084,McGougan,,rmcgougan28@themeforest.net,$37697.46,$8224.00,3535747804366650,$10152.28
23-0049138,Gaucher,Anaïs,cgaucher29@house.gov,$24870.99,$9779.83,3587289642196947,$8554.90
69-4550295,Prendeguest,Håkan,hprendeguest2a@blogger.com,$48676.39,$48066.90,201815075488054,$10182.70
79-8519656,Retchless,Agnès,eretchless2b@nps.gov,$21137.04,$7966.75,3576270347425511,$33853.20
28-5997641,Beneix,Lorène,mbeneix2c@cbslocal.com,$33470.97,$40965.06,3586743791070528,$35923.36
81-3884981,Duggon,,cduggon2d@va.gov,$49042.09,$26701.85,3536971462361428,$37910.34
46-2368783,Edser,Nélie,jedser2e@answers.com,$47863.00,$32685.52,5610257747203377,$33715.46
31-4164856,Martellini,Lyséa,smartellini2f@dedecms.com,$32624.64,$48249.61,3565320786386931,$8726.63
13-0381546,Overell,Nuó,coverell2g@indiegogo.com,$10133.53,$43633.12,6706983551756571039,$4621.98
36-5214406,Schoolfield,Bécassine,oschoolfield2h@xing.com,$3785.07,$40673.30,589363830719623236,$17590.29
57-4365348,Klement,Hélène,vklement2i@army.mil,$17328.23,$8599.44,3538802449799935,$3038.55
57-6062593,Stratton,Marie-françoise,dstratton2j@so-net.ne.jp,$4150.32,$20680.92,3538298412803400,$26649.65
16-4983785,MacPike,Joséphine,,$14755.46,$1292.87,30453648050503,$46058.92
29-0152123,Paish,Léone,dpaish2l@issuu.com,$26461.34,$44263.38,490505004746149660,$4304.97
97-6380825,Ramard,Lóng,iramard2m@fema.gov,$45997.52,$36859.75,67719069441412349,$3130.48
11-7325509,Ohlsen,Rébecca,,$25215.64,$21145.91,5641820308392617,$43439.83
91-0838004,Fedorchenko,Kévina,cfedorchenko2o@example.com,$24161.97,$23817.33,3555507346067801,$7044.11
09-0649439,Schule,Angélique,wschule2p@bing.com,$42880.04,$16556.82,374622852866408,$10881.33
71-4243507,Rimmington,,drimmington2q@umn.edu,$35817.00,$39912.09,67622344633955637,$3688.46
97-2718550,Lars,Gösta,hlars2r@studiopress.com,$6361.77,$16511.81,5444223233884361,$17523.91
63-8569369,Isard,Loïc,kisard2s@merriam-webster.com,$9086.30,$43118.58,3535694972757197,$9770.25
89-5693485,Lewsie,Françoise,jlewsie2t@vk.com,$35347.26,$26700.10,5007665062834249,$48238.28
68-7444054,Banting,,,$48386.77,$8432.19,4041595826952386,$42954.67
20-8330525,Luberto,Vénus,dluberto2v@wikia.com,$49176.85,$29839.75,501858854926973850,$43149.14
43-6206046,Sealove,Audréanne,,$27189.28,$38642.32,670999472806035840,$9283.62
23-6019876,Kendrick,Intéressant,fkendrick2x@answers.com,$49161.26,$40060.63,3560121724647458,$6810.27
33-4674445,Fancy,Inès,,$25185.04,$32386.98,675945900075500148,$33569.18
41-4290576,Crowder,Léonore,jcrowder2z@upenn.edu,$6723.75,$49566.06,3548067153418597,$7064.86
24-1851607,Emblem,Kévina,kemblem30@reuters.com,$15349.58,$17684.27,3558791139657633,$21352.94
55-4183670,Cardello,Françoise,fcardello31@amazon.co.uk,$36430.77,$15375.38,6767044618256646,$15723.87
44-6581643,Scamadin,Mahélie,dscamadin32@barnesandnoble.com,$16219.96,$22715.24,5526076208202725,$24340.33
16-0188603,Strasse,Ruò,wstrasse33@sciencedirect.com,$8931.44,$17702.69,3588246934281885,$38375.25
63-5922198,Freegard,Solène,bfreegard34@opera.com,$12111.76,$34440.50,0604694691161776345,$14088.56
58-7093663,Manicomb,André,dmanicomb35@mlb.com,$49388.99,$49035.48,3563595661039539,$44044.71
34-5904664,Devon,Estève,,$41500.29,$35298.93,060474513391593566,$33299.06
02-5908541,Linggood,Cécilia,tlinggood37@mlb.com,$16926.56,$5950.11,3558219146949827,$24533.73
05-0451261,Balassa,Styrbjörn,cbalassa38@arstechnica.com,$44709.00,$38317.19,3540943404925341,$20748.42
96-7942688,Tapsell,Loïca,atapsell39@addtoany.com,$18578.52,$25995.91,3542272083392575,$14320.21
20-8747041,Eagleston,Maïwenn,eeagleston3a@pen.io,$39100.36,$19499.57,6333501102555349726,$32138.96
07-5420326,Dowdney,Léana,,$11003.08,$1535.45,5602228422860526,$32409.09
33-5885510,Mingame,Angèle,smingame3c@telegraph.co.uk,$30771.15,$7064.55,337941457681822,$17404.19
27-2996081,Dawtre,Loïs,sdawtre3d@about.com,$37908.51,$35915.17,5641825738131824,$14173.24
61-5146030,Wager,Tán,,$6725.30,$48732.28,6763461041872687234,$30760.08
78-6811847,Halversen,Lèi,bhalversen3f@spotify.com,$19161.36,$3195.33,3552837048332960,$7932.58
32-5052615,Ludvigsen,Angélique,gludvigsen3g@weather.com,$27317.31,$43247.32,3577216803795458,$1493.55
19-1674898,Stockwell,Léone,,$7464.42,$17547.62,374622677316415,$23192.29
61-5693129,Jovicevic,Esbjörn,,$33251.47,$38912.86,3546770552982152,$18442.50
80-0036581,Andriulis,Camélia,aandriulis3j@weather.com,$32897.88,$18156.87,3578269941644269,$1821.05
61-4983477,De La Salle,Maïté,bdelasalle3k@rediff.com,$20878.33,$31640.92,3567111757378249,$32111.60
43-3234711,Scholler,Zhì,cscholler3l@themeforest.net,$38601.86,$38388.45,6304536810654477582,$46064.44
00-9314255,Ridsdell,Méng,,$46219.53,$27600.37,6372398903302615,$44225.38
89-9311655,Dunham,Noémie,rdunham3n@sohu.com,$48883.73,$20147.82,5420611865255082,$38762.81
50-2849118,Steers,Lyséa,csteers3o@theglobeandmail.com,$14468.50,$48354.16,5602240677307640,$44793.44
88-2929877,Carnell,Mélanie,ccarnell3p@ucsd.edu,$36285.04,$28874.97,5100140486984109,$17316.38
33-6147974,Guidotti,Faîtes,mguidotti3q@github.io,$34841.85,$36572.21,3543978555785091,$23938.14
97-0072570,Crenshaw,Céline,dcrenshaw3r@dmoz.org,$49623.05,$30519.95,3555693621648414,$20524.36
36-4710619,Vuitte,,avuitte3s@elpais.com,$8861.17,$32467.39,5602211285363564,$7432.08
94-2786819,Ponceford,Géraldine,mponceford3t@unc.edu,$19242.51,$3749.02,63045670842667649,$40708.41
54-3969722,Alfonso,,balfonso3u@histats.com,$1253.09,$37205.22,3544153478930278,$32307.72
44-8588528,Tewkesbury.,Adèle,,$43623.30,$31615.09,5307165034395822,$30412.40
16-6941816,Skirven,Yóu,kskirven3w@ocn.ne.jp,$11576.67,$41321.78,3588344683663377,$41258.94
79-9192029,Fraschini,Eléonore,cfraschini3x@cbc.ca,$29813.96,$19663.59,3548625716717217,$33452.20
77-6451662,Das,Geneviève,idas3y@homestead.com,$46793.40,$34404.95,3537746368400200,$38601.38
33-8756788,Rossi,Yè,erossi3z@furl.net,$14591.25,$4660.63,5100130110522482,$42732.64
06-4603739,Kimberley,,jkimberley40@hubpages.com,$17514.45,$16379.55,4041378463574,$45095.59
88-7095784,Frances,Lucrèce,,$42381.35,$15319.94,30450890853162,$23485.40
27-2979525,Franke,Loïs,bfranke42@delicious.com,$18225.21,$32977.64,5100148099715596,$30087.14
43-2104360,Bridie,Hélène,rbridie43@shutterfly.com,$42626.55,$25200.10,3560920058710141,$26183.05
14-0972441,O'Fearguise,Adélaïde,dofearguise44@51.la,$27805.20,$1673.74,3552688785865682,$24996.02
58-5924703,Petrushanko,Bérengère,spetrushanko45@canalblog.com,$21817.70,$1625.05,5602223782802432,$11515.90
79-1198344,Weatherhill,Andréa,cweatherhill46@bravesites.com,$46612.02,$43944.52,370052910132334,$33023.27
88-5967373,Hedylstone,Renée,chedylstone47@sphinn.com,$29855.17,$43142.71,633354899239967719,$18329.72
54-2553840,Village,,mvillage48@baidu.com,$3119.03,$46968.12,4175000651189475,$49958.85
91-6854033,Kirkebye,Marylène,dkirkebye49@newyorker.com,$19735.00,$24574.57,630410684747385499,$42142.66
93-9153086,Wadhams,Irène,,$27372.42,$6867.59,3572958729188855,$15129.26
74-1338468,Daenen,Cléopatre,adaenen4b@dell.com,$32057.22,$9899.06,4610584898318,$32728.14
34-0244059,Jaycox,Mélina,cjaycox4c@facebook.com,$18691.67,$35393.98,3552224018655649,$1388.63
59-1136139,Ovey,Joséphine,eovey4d@prlog.org,$48426.28,$3731.61,5010120355865778,$23896.70
90-6405402,Hopewell,Ruì,jhopewell4e@bizjournals.com,$34893.97,$11281.01,3559262533809674,$38536.04
33-3257760,Winear,,nwinear4f@wufoo.com,$13690.49,$48610.49,3553799034864357,$7404.39
84-4776405,Toppin,Styrbjörn,ctoppin4g@usatoday.com,$28350.75,$31670.85,4386955951969196,$38798.03
42-6329362,Edgworth,Loïca,eedgworth4h@desdev.cn,$46675.92,$5238.04,630450688242445923,$34912.25
73-3100487,Duxbury,Maëlys,cduxbury4i@earthlink.net,$38067.85,$3298.16,373714386469030,$8866.99
53-4736413,McKew,Andrée,tmckew4j@dmoz.org,$15645.32,$37888.06,3555630243245294,$9050.44
00-5035961,Saiens,Dà,fsaiens4k@ucoz.com,$25995.18,$27397.89,3587902158240855,$2966.36
88-1445358,Dunridge,Maïly,sdunridge4l@loc.gov,$12803.19,$9503.72,5641822838162143692,$49095.84
50-2193159,Jopling,Pò,kjopling4m@opensource.org,$13287.84,$41808.96,201770034579008,$25616.03
62-8145426,Crisall,Séréna,dcrisall4n@about.com,$41903.42,$41670.84,3569894839229914,$6349.48
52-4097184,Minci,,mminci4o@goodreads.com,$19939.98,$4383.31,3551077960106800,$10061.48
57-0310413,Twigley,Annotés,btwigley4p@quantcast.com,$2350.29,$25567.04,4026948701494009,$10328.83
40-8088480,Anders,Marie-françoise,canders4q@pbs.org,$6663.16,$47128.43,3579105259707620,$11033.71
13-1929636,Wethers,Dafnée,cwethers4r@cocolog-nifty.com,$30483.20,$49524.51,3569009845312303,$37586.51
57-5210662,Chittock,Andréanne,vchittock4s@fastcompany.com,$45783.01,$47000.83,3538938766126771,$36976.24
79-9706186,Pickthall,,rpickthall4t@bloglovin.com,$9999.36,$32296.88,3538113507025985,$22456.22
14-8434910,Matiewe,Marie-josée,tmatiewe4u@answers.com,$5192.83,$42362.64,30175390875643,$12295.37
70-2950394,Fawkes,Tú,cfawkes4v@baidu.com,$9334.37,$44058.86,675956757403993148,$38222.01
80-9124837,Gingles,Björn,,$3443.74,$7194.89,341577244443417,$2815.22
80-5443108,Shotboulte,Mélina,gshotboulte4x@msn.com,$45702.78,$20234.26,3582163284801418,$6528.44
33-4353795,Hares,Néhémie,ihares4y@nifty.com,$9794.16,$42030.39,3530492236190973,$5952.18
35-3837060,Pointer,Marie-josée,jpointer4z@baidu.com,$43849.47,$27281.13,630418912759568070,$16920.09
35-9560290,Windross,,nwindross50@tinyurl.com,$42805.16,$1263.85,5602258611723433,$27126.22
68-1972607,Roffe,Ophélie,mroffe51@amazon.co.uk,$7920.04,$21183.31,5048371529964296,$21542.99
86-6704733,Cahn,Bénédicte,mcahn52@so-net.ne.jp,$48246.85,$19432.47,3546564680410461,$35839.18
41-1598642,Orlton,Yénora,aorlton53@sitemeter.com,$43272.54,$12783.93,6304494436401535652,$5469.91
45-1316077,Hartright,Geneviève,shartright54@seattletimes.com,$44091.37,$31451.54,4017951760315447,$16275.65
17-1812405,Massey,,vmassey55@de.vu,$23343.55,$43592.13,201535931747374,$46155.65
81-1084531,Hubbuck,Alizée,ehubbuck56@hatena.ne.jp,$11537.03,$37530.63,6304082760375033792,$3775.66
18-4494221,Di Biasio,Estève,adibiasio57@shinystat.com,$26414.75,$26223.51,4041375391183158,$31897.65
45-4447258,Monteaux,Gaëlle,,$12407.65,$30080.50,5504549955131491,$36168.64
88-2268000,O'Hickee,,dohickee59@tinyurl.com,$37415.31,$41164.08,5602214207083658,$3630.50
99-0594334,Cogin,,scogin5a@cisco.com,$38658.02,$42245.41,6759182450451527,$24929.88
99-1555995,MacFadin,Céline,smacfadin5b@soundcloud.com,$26386.08,$6282.79,56102314737143309,$16020.16
89-9782392,Schachter,,sschachter5c@msn.com,$18944.70,$26369.43,36763017039398,$28133.89
59-0965266,O'Curran,,pocurran5d@jugem.jp,$9263.70,$29007.70,4917306858053866,$3442.30
42-3453721,Lukovic,Gisèle,slukovic5e@sogou.com,$46164.86,$38183.68,3572230042342415,$41551.86
98-0195846,Tolworth,Sòng,ptolworth5f@xinhuanet.com,$13363.21,$46016.33,3580288634651700,$20208.10
09-4627297,Thaine,Frédérique,bthaine5g@senate.gov,$23277.93,$42749.42,4936782245546153418,$30797.74
09-2178431,Matfield,Garçon,hmatfield5h@ning.com,$42764.10,$12625.53,3559965812620253,$7323.44
83-3369890,Verma,Märta,lverma5i@yellowpages.com,$29918.85,$35517.26,30115295847552,$48368.70
66-5637078,Barnby,Magdalène,abarnby5j@google.es,$12038.26,$7985.67,3575130389666110,$35775.46
38-8814703,Cantrell,Mårten,ycantrell5k@sphinn.com,$24988.34,$40635.59,36227041869279,$39611.84
36-2101414,Ramm,Mélina,aramm5l@histats.com,$19098.68,$18687.59,6374799472512484,$4660.28
04-1123722,Richarson,Örjan,dricharson5m@admin.ch,$40854.04,$44542.25,3565944460170103,$2033.14
96-7817940,Le feuvre,Lóng,,$35948.62,$37837.86,3535757027530602,$37969.72
81-1871281,Kupker,Örjan,bkupker5o@163.com,$1102.14,$5400.50,5168775835453162,$21311.92
01-6286494,Trever,Naéva,ptrever5p@flavors.me,$45848.01,$7996.92,4844452670131387,$42165.84
66-2562355,Lindenfeld,Aurélie,alindenfeld5q@tmall.com,$35494.10,$36713.45,4026453355395552,$47903.94
22-0992841,Coulston,Esbjörn,,$16263.99,$30300.98,4405309359347836,$48025.94
07-8257205,Abarough,Maïlis,aabarough5s@abc.net.au,$13472.96,$28006.14,3538459592246055,$16854.51
16-3349999,Glyde,Personnalisée,dglyde5t@bravesites.com,$18971.54,$28735.47,5602231246809441320,$40456.56
80-8963434,Zannotti,Célia,nzannotti5u@vinaora.com,$48246.36,$49636.90,3585746415973135,$41555.89
91-2791771,Covelle,Marie-ève,,$25309.97,$5394.95,56022223317077547,$44436.74
11-2585407,Salthouse,Léonie,asalthouse5w@jiathis.com,$20267.90,$40825.79,3550355341435101,$25642.31
12-1040631,Trevett,Maïly,mtrevett5x@ameblo.jp,$22174.82,$28348.14,3537686910521139,$43569.94
57-0135758,Peltzer,Pò,,$45320.37,$17326.41,201995273045839,$4382.76
24-7618504,Lockless,Mélia,blockless5z@mozilla.org,$21727.44,$43317.57,633436935514883908,$21683.21
32-7463914,Baggallay,Lèi,dbaggallay60@creativecommons.org,$25960.91,$3800.55,3549753939851511,$46921.22
11-5660745,Pechard,Maéna,rpechard61@harvard.edu,$32576.52,$36920.47,3572040522479045,$32441.35
15-7783293,Heald,Yú,,$18264.51,$35579.24,67610230817469731,$5516.39
79-5626554,Cowans,Léane,,$44831.47,$29102.84,5231773283104729,$45131.54
74-1909891,Van Halle,Célia,evanhalle64@jalbum.net,$30610.86,$11157.16,30445729328865,$35473.50
08-5917357,Seaborn,Åsa,dseaborn65@xing.com,$28286.23,$30846.76,3575804876110218,$44598.73
11-3075150,Mitchiner,Edmée,amitchiner66@biglobe.ne.jp,$16079.37,$28223.34,3541024893118018,$2772.97
98-4236852,Mulran,Naéva,jmulran67@privacy.gov.au,$32656.47,$33837.72,6761471802738507490,$39680.95
15-2020824,Wrenn,Nadège,dwrenn68@columbia.edu,$10453.49,$17275.78,6389401384472021,$18784.32
64-1587951,Baser,Frédérique,,$2352.49,$43709.07,30573687441527,$43532.45
30-3784394,Kuhle,Cinéma,akuhle6a@storify.com,$24315.96,$5700.74,3554638579195208,$21274.41
79-8200193,Bouchard,Océanne,lbouchard6b@cbslocal.com,$42465.65,$16820.94,6761901711392121,$13322.24
29-0282896,Bault,Ruò,mbault6c@ed.gov,$46968.34,$26436.00,3548194664774563,$37665.91
37-8608246,Edmett,Bécassine,hedmett6d@aol.com,$6625.12,$28046.35,3573436791152215,$25884.31
05-7893430,Squibb,Bérénice,msquibb6e@imdb.com,$36222.53,$12550.12,3571493763734837,$26118.97
45-8711838,Tran,Alizée,dtran6f@nifty.com,$22598.10,$20815.07,6759966457910819985,$16456.95
23-9364938,Harverson,Yáo,,$11145.03,$27849.28,5010124598235633,$43311.87
67-1328210,Boyington,Intéressant,rboyington6h@blogspot.com,$12522.00,$43124.24,6304359475712790,$43274.59
54-2384394,Daulton,Laïla,,$35303.34,$10248.95,4508035186900226,$27448.51
55-1643352,Chellam,Salomé,cchellam6j@diigo.com,$35599.87,$38081.32,3548339891894235,$14479.18
08-9903874,Fayerman,,gfayerman6k@trellian.com,$25018.55,$44909.64,5602245492962321,$25839.71
36-7294691,Cool,Camélia,lcool6l@samsung.com,$44056.53,$1242.43,3586289281716626,$39795.73
13-7439392,Dowry,Annotés,wdowry6m@blogs.com,$4487.82,$26820.51,633110053158647713,$41235.50
65-2708767,Hubeaux,Inès,chubeaux6n@discuz.net,$43740.54,$9073.10,3554017545896407,$7590.10
84-5247112,Lismore,Mélinda,dlismore6o@themeforest.net,$14682.79,$35588.48,3530466031953280,$42722.99
97-5079709,Casetti,Edmée,rcasetti6p@tripod.com,$10556.97,$39837.10,5610922652628757,$19483.07
76-2993408,Leete,Bérengère,mleete6q@elpais.com,$17331.33,$38105.93,3578511055275665,$2250.39
83-8929057,Thies,,,$15703.38,$41374.99,5579999240171952,$26824.21
89-0915400,McLafferty,Athéna,,$22326.17,$23782.24,3544539496698402,$9527.46
21-1366634,Brennon,Irène,hbrennon6t@addthis.com,$31900.59,$32460.06,5108756823966681,$2130.25
98-2170684,Blaske,Görel,nblaske6u@uiuc.edu,$39069.82,$18120.79,5007667408017067,$36860.52
70-6742114,Potkins,Méng,,$46302.10,$1806.62,5479729504173902,$6373.13
85-8308687,Dowd,Andréa,,$45889.25,$26122.26,501844215901124132,$34014.91
93-6381679,Smaleman,Maïwenn,ksmaleman6x@marriott.com,$6505.35,$4993.28,5472381057863153,$38584.62
82-3117462,Bockmaster,Alizée,ybockmaster6y@paypal.com,$10466.54,$33772.91,6767501666650592595,$42176.75
09-0529624,Huetson,,khuetson6z@smugmug.com,$28717.00,$44187.99,3574073339601640,$40842.52
43-6297484,Basini-Gazzi,Andrée,gbasinigazzi70@photobucket.com,$31327.63,$44620.30,3555644203096175,$45657.30
53-3873968,Fendt,Vérane,rfendt71@sina.com.cn,$15294.59,$7785.22,5602237921336136,$22761.85
39-5881520,Heakey,Séréna,sheakey72@aboutads.info,$41092.23,$37742.28,3575646276139739,$27287.45
19-6529593,Nottle,Sòng,bnottle73@tiny.cc,$11102.82,$34012.51,30586766653069,$26234.84
20-3160559,Lagde,Laurène,klagde74@washington.edu,$13715.17,$47825.56,6762232319304949,$3257.10
07-5603132,Coppard,Marylène,icoppard75@gravatar.com,$4141.81,$39737.09,201866077084730,$9509.53
98-7821536,Johnys,Mélanie,fjohnys76@nhs.uk,$38556.13,$5747.14,50386093702898481,$5751.52
14-5723583,Eunson,Mahélie,aeunson77@ow.ly,$49514.33,$21805.94,5602222524372894,$27177.23
04-7209331,Tulip,Gaïa,,$30639.97,$37344.34,3576839249564732,$20224.08
10-3312212,Havenhand,Tán,shavenhand79@surveymonkey.com,$1970.99,$2420.19,3575856068132129,$35798.98
94-6598659,Stollen,Annotée,mstollen7a@businesswire.com,$8402.27,$14849.86,3549516931629437,$16617.79
74-7245685,Igglesden,Mélys,kigglesden7b@123-reg.co.uk,$37570.46,$2692.85,30320441000243,$7274.76
78-2598842,McKinna,Félicie,kmckinna7c@aboutads.info,$6100.33,$9869.35,3584466988167855,$21960.08
